,user_id,event_timestamp,total_time_played
0,b5a8c3f9e2,2023-08-26 03:42:18,0 days 18:18:36
1,7d1b0e6f4a,2023-08-26 09:15:37,7 days 16:20:27
2,2f9c6e8d1b,2023-08-26 01:28:54,1 days 21:51:26
3,a3e7b4c0d9,2023-08-26 07:59:06,9 days 20:48:11
4,f6b2d8a5c,2023-08-26 11:33:22,3 days 17:23:32
5,9e4c1f7b3a,2023-08-26 06:10:45,2 days 23:08:12
6,d5a0c8e2f,2023-08-26 10:49:03,12 days 20:19:58
7,1b6f3e9d7c,2023-08-26 02:14:28,5 days 03:55:41
8,c4d9a2b8e,2023-08-26 08:37:50,4 days 03:00:35
9,8e0c7b5f1d,2023-08-26 04:56:12,3 days 10:46:22
